,Artificial Intelligence,Machine Learning,Computer Vision,Robotics,Data Science,Cybersecurity,Information Security,Ethical Hacking,Cryptography,Human-Computer Interaction,Interface Design,Usability Evaluation,User Research,Immersive Technologies,Data Visualization,Game Development,Game Design,Animation & Digital Media,Computer Graphics,Sound Design,Interactive Media,Media Production,Digital Arts & Culture,Media Studies,Health,Digital Healthcare,Nutritional Science,Neuroscience,Cognitive Neuroscience,Cognitive Psychology,Physical Computing,Smart Engineering,Climate Science,Renewable Energy,Software Engineering,Web Technologies,Mobile Development
Artificial Intelligence,1.0,0.902328097820282,0.7727266490459441,0.7606850415468216,0.7647037863731384,0.3631879379392248,0.37609387891899215,0.3620535246288308,0.33427938076360597,0.47570186426626043,0.4251877717174475,0.4249042148390482,0.4079018570445159,0.3663481556598929,0.4034876038422998,0.31111567603519363,0.3573602665697426,0.4029633781794822,0.44135828628554763,0.29450959184259157,0.4835677884314177,0.24874660208900845,0.42864551204242485,0.196486654453845,0.1412114957565615,0.36702677846104176,0.15888016731443944,0.4454630020239132,0.522521108810954,0.5231819880179865,0.4281372339380189,0.5145534299332906,0.2748559137544539,0.24320056769768955,0.3747735139809048,0.31094223472516697,0.22747003542802074
Machine Learning,0.902328097820282,1.0,0.7765960395336151,0.7602672159671783,0.7770015001296997,0.3033855693286647,0.3214659046564935,0.3641904974559939,0.3331146206430305,0.3263157584493443,0.3315675526464348,0.36603926848483204,0.3950832405593523,0.23855112671656742,0.4194682960161019,0.189254219951225,0.2574887594320214,0.285721821385908,0.4135809219425077,0.20722906914754047,0.3516584725302476,0.14020945492251746,0.3248835748055783,0.1103065752214645,0.11482329922800875,0.3368672204848931,0.17698302276237476,0.354206458838572,0.40173439429940033,0.39896964506120863,0.48973048239207617,0.5331355869268285,0.23740126130588712,0.2270237979707561,0.38365453894663054,0.33027898992677224,0.2847710991755101
Computer Vision,0.7727266490459441,0.7765960395336151,1.0,0.8519293054938317,0.7600925594568252,0.32403182035573114,0.4303087959355623,0.26906656297435894,0.2750513100526628,0.3604356061203013,0.4571237948022571,0.3749099817283227,0.34957965410055464,0.44161199181189087,0.521814213930524,0.24464431719207064,0.3115541409931159,0.4998468083289828,0.666514710323163,0.35565756278950217,0.45051178225411653,0.3522602373896921,0.41409245149086166,0.2697924400942188,0.13739900741378985,0.36998082366927326,0.17685383979770708,0.40123614922203393,0.39848796686491067,0.4589068556972126,0.4158365879568396,0.39912494021739214,0.2609651878181666,0.2835241084891828,0.3662436759276969,0.3498361156127205,0.2268173157969911
Robotics,0.7606850415468216,0.7602672159671783,0.8519293054938317,1.0,0.7359836310148239,0.25194888730113724,0.21968463869130928,0.21144033934900225,0.1969246239536419,0.27413113593230976,0.3522922563710468,0.2613636754985948,0.2997674244355855,0.3043113483190615,0.22051595549348318,0.24628145018602626,0.23374330944904442,0.3771168760834344,0.29266198204373484,0.24936397387940334,0.29246988363867316,0.18706846772330848,0.2860905351296123,0.036757941555073836,0.07621925553767075,0.21165182255322068,0.049075431177133845,0.3255167702898535,0.2937262106140512,0.17938328513399457,0.6469565008225655,0.5920968379541715,0.27748642480679203,0.2675509410856604,0.3186422578336436,0.22079717442885316,0.21261239199386117
Data Science,0.7647037863731384,0.7770015001296997,0.7600925594568252,0.7359836310148239,1.0,0.36638336415292994,0.40931316951474905,0.26463671832425884,0.2152946010049726,0.2587375771201861,0.3483370760881568,0.3019618704052963,0.44545522952457084,0.2891574828581718,0.6423475635431957,0.32484471230886636,0.37806518293547103,0.3376225463970821,0.34421474062020624,0.27299196932052505,0.39505403949608586,0.23162799743180162,0.38324609565449486,0.27834427958480823,0.25831413073669035,0.37376417288104413,0.3141907988228224,0.3445084543901764,0.32571068021368615,0.32863199421950773,0.28740264759329825,0.44819839536817424,0.38392462555724516,0.30941424186639954,0.4288722770331989,0.361061431664961,0.2157636295360062
Cybersecurity,0.3631879379392248,0.3033855693286647,0.32403182035573114,0.25194888730113724,0.36638336415292994,1.0,0.9127380460500718,0.7727850943803787,0.7827895998954773,0.2890467789332753,0.31397940851700257,0.3210408944832894,0.30219642337847913,0.31287693677263106,0.2700964501033577,0.2386628215577148,0.2563867831457753,0.2873647605297708,0.259557513868542,0.24161316631307211,0.24843786974461174,0.21076267649797142,0.32948182876911886,0.23725774876324857,0.08335256357830916,0.4019588368302115,0.10137780047890228,0.1337628247483324,0.15880833362778807,0.22097069315421192,0.3575680493210868,0.3394305659951052,0.24356324304549037,0.2187982950710819,0.39337787369168775,0.41507336568077685,0.21445750901902438
Information Security,0.37609387891899215,0.3214659046564935,0.4303087959355623,0.21968463869130928,0.40931316951474905,0.9127380460500718,1.0,0.7625422969460487,0.7922230720520019,0.3409563602584411,0.4198538553360701,0.3883023696888451,0.34477219294355926,0.3570790631174391,0.397982506678593,0.24710914395065808,0.3122536349677977,0.3322486217720778,0.3326183883642986,0.3320761094460363,0.27870873548524727,0.29752900655724446,0.2897433620914703,0.28861368659940045,0.08444317722918691,0.4384721807727631,0.14451822199322029,0.1728862111294161,0.15896961298914253,0.24347573275408968,0.3354853258408563,0.3158164278984286,0.2292222695377359,0.2793899439584881,0.45009504003838025,0.48268228089677695,0.2630812739887304
Ethical Hacking,0.3620535246288308,0.3641904974559939,0.26906656297435894,0.21144033934900225,0.26463671832425884,0.7727850943803787,0.7625422969460487,1.0,0.7670553863048553,0.3018648689941807,0.20523139746894992,0.33416205008628214,0.2802967407094551,0.171626702383889,0.1987474918123609,0.28471285187964146,0.24365332352591662,0.15768039223915717,0.1717684343738894,0.1544523354629738,0.18456429849295014,0.06875876998207225,0.2713393842262832,0.1741137318597214,0.13524144984982253,0.24424321287341766,0.1115297297270396,0.19775493435649855,0.2084709813880823,0.23426222442008032,0.23898827561384411,0.19268167539828662,0.18249375576225815,0.20255937631554222,0.3538815002405681,0.325384049444509,0.24941105788438378
Cryptography,0.33427938076360597,0.3331146206430305,0.2750513100526628,0.1969246239536419,0.2152946010049726,0.7827895998954773,0.7922230720520019,0.7670553863048553,1.0,0.2999984782357576,0.2666652942034219,0.32100342546255517,0.22647812826094804,0.26531591399886517,0.2941889530201186,0.21523833554160565,0.23437365604909854,0.24736348428272453,0.3054153219208756,0.21365999175084338,0.19125590174401808,0.15956009069316746,0.2920602326673568,0.24992789812451954,0.0,0.296515903072244,0.07726682239313683,0.12528515688742364,0.18753504218831463,0.20192906068162098,0.37063591220946507,0.2700841720316874,0.1822589550600126,0.23217485933772397,0.32445286686393193,0.3680343854574635,0.20790190128184854
Human-Computer Interaction,0.47570186426626043,0.3263157584493443,0.3604356061203013,0.27413113593230976,0.2587375771201861,0.2890467789332753,0.3409563602584411,0.3018648689941807,0.2999984782357576,1.0,0.89230255484581,0.9040906667709351,0.7837586998939514,0.7638015538454055,0.7389331310987473,0.46780683193623535,0.47515738675256664,0.44099412456337056,0.4695265051572711,0.39600154122866865,0.637536727077721,0.40259930935570365,0.4689391085834636,0.34112856292315424,0.3153596929221318,0.43908611532241293,0.23281229718219798,0.30369742925247806,0.3464733793832906,0.45266299950238525,0.3268011835477157,0.27456298962087106,0.23383616139835972,0.23629375756492943,0.38287016680183933,0.5003372189747411,0.5133074146801476
Interface Design,0.4251877717174475,0.3315675526464348,0.4571237948022571,0.3522922563710468,0.3483370760881568,0.31397940851700257,0.4198538553360701,0.20523139746894992,0.2666652942034219,0.89230255484581,1.0,0.8827269792556763,0.7910944074392319,0.7844358325004577,0.7573460891842841,0.5239487094670601,0.6483491097485643,0.5313096379378921,0.5486206971106883,0.5530803466636451,0.6623918174648215,0.5183214199431737,0.5419943162769107,0.4198251187647963,0.2686571597321053,0.42653368371512634,0.20160583618705596,0.36454933300332276,0.3477310069362478,0.4451602151770214,0.3627345318222081,0.3436327321535126,0.24942113736062266,0.2747046906447386,0.46081124190062817,0.4955747825748925,0.5965898380321951
Usability Evaluation,0.4249042148390482,0.36603926848483204,0.3749099817283227,0.2613636754985948,0.3019618704052963,0.3210408944832894,0.3883023696888451,0.33416205008628214,0.32100342546255517,0.9040906667709351,0.8827269792556763,1.0,0.7868925482034683,0.762101413309574,0.7433134958148002,0.40808142964884453,0.46090748464148923,0.4191262441127713,0.4132864649853494,0.37012816052931735,0.5733786777052082,0.344974711452321,0.39232592319304177,0.2996138324167081,0.2588622158048598,0.3898138575988097,0.24769870815376427,0.24457801870166412,0.30858854541733577,0.4111295190025056,0.33090205948560936,0.2821538571110931,0.19926464171382502,0.24028770744613287,0.48311639511303545,0.5093269350667289,0.5140261386233219
User Research,0.4079018570445159,0.3950832405593523,0.34957965410055464,0.2997674244355855,0.44545522952457084,0.30219642337847913,0.34477219294355926,0.2802967407094551,0.22647812826094804,0.7837586998939514,0.7910944074392319,0.7868925482034683,1.0,0.7647776544094085,0.7474087551236153,0.4833958644619001,0.553835331948373,0.41801127753379963,0.36548327156972243,0.3913096456794254,0.5851901516859427,0.39731592970311824,0.46941267365295797,0.37232350451688045,0.4343950248926235,0.38633258301287526,0.288568599909988,0.2136593104959209,0.2592022858756887,0.4039997836794434,0.29338627989082,0.3872343787333889,0.18941779854794272,0.31014717926454655,0.4413848242613899,0.44761195874448473,0.5332653040572877
Immersive Technologies,0.3663481556598929,0.23855112671656742,0.44161199181189087,0.3043113483190615,0.2891574828581718,0.31287693677263106,0.3570790631174391,0.171626702383889,0.26531591399886517,0.7638015538454055,0.7844358325004577,0.762101413309574,0.7647776544094085,1.0,0.8417272821068764,0.5495309156193339,0.6327065677453553,0.6999999999999998,0.5693880102340856,0.5323495735769969,0.6993167013127926,0.5881633339642682,0.6138983579820985,0.42951473139119273,0.17080261617373282,0.4573333426231731,0.1160362000728478,0.2519175340916386,0.2581452878973901,0.3173687446545404,0.41995164638357313,0.329840044993791,0.24923179494138353,0.2991348173078342,0.3033164838863027,0.5345903758475664,0.4306383994534919
Data Visualization,0.4034876038422998,0.4194682960161019,0.521814213930524,0.22051595549348318,0.6423475635431957,0.2700964501033577,0.397982506678593,0.1987474918123609,0.2941889530201186,0.7389331310987473,0.7573460891842841,0.7433134958148002,0.7474087551236153,0.8417272821068764,1.0,0.34352809759065234,0.41964678480578116,0.4100422980785569,0.5241597436623523,0.4024949225219061,0.3811451983720882,0.25904383217395577,0.425419986747601,0.2470532965300844,0.1951037843766238,0.3626003246024874,0.22798639569309748,0.3827865582431762,0.3459508878239119,0.4122553546941035,0.29755419750630835,0.3572887038367536,0.30630293515254936,0.2523234381608815,0.32444298866755655,0.3018161592672262,0.23638013759248155
Game Development,0.31111567603519363,0.189254219951225,0.24464431719207064,0.24628145018602626,0.32484471230886636,0.2386628215577148,0.24710914395065808,0.28471285187964146,0.21523833554160565,0.46780683193623535,0.5239487094670601,0.40808142964884453,0.4833958644619001,0.5495309156193339,0.34352809759065234,1.0,0.9066214561462402,0.7599342241883278,0.7434874102473259,0.7657319530844688,0.7728444918990135,0.7595655232667923,0.7646860927343369,0.7380759418010712,0.23774212101310344,0.2971226534790754,0.1607161493304154,0.16802959897807335,0.216825473714094,0.2708649830712022,0.2733587476809269,0.2727390224644363,0.30169096319216143,0.24934615286995498,0.5269553971011164,0.357923199898608,0.5038867119513181
Game Design,0.3573602665697426,0.2574887594320214,0.3115541409931159,0.23374330944904442,0.37806518293547103,0.2563867831457753,0.3122536349677977,0.24365332352591662,0.23437365604909854,0.47515738675256664,0.6483491097485643,0.46090748464148923,0.553835331948373,0.6327065677453553,0.41964678480578116,0.9066214561462402,1.0,0.7808547168970108,0.761953668296337,0.7862785100936889,0.7821807563304901,0.7655113726854323,0.7668119758367538,0.7382272630929947,0.265822008990906,0.3119060091605562,0.20580967451663662,0.26672722646909824,0.27151934390727234,0.3466433524864394,0.27587617041614,0.26538484461056294,0.17963085936603584,0.2702658193669162,0.42183544010865126,0.37399787428557396,0.41341478863983083
Animation & Digital Media,0.4029633781794822,0.285721821385908,0.4998468083289828,0.3771168760834344,0.3376225463970821,0.2873647605297708,0.3322486217720778,0.15768039223915717,0.24736348428272453,0.44099412456337056,0.5313096379378921,0.4191262441127713,0.41801127753379963,0.6999999999999998,0.4100422980785569,0.7599342241883278,0.7808547168970108,1.0,0.9007290363311768,0.7809181958436966,0.7912681609392166,0.7906508237123488,0.7830858319997787,0.7438065126538276,0.14257629709527164,0.36465464882110543,0.13774843699826914,0.27802930756464467,0.30504498245519734,0.3474887588790547,0.3428081040360317,0.2608375454186076,0.20831800869186168,0.3036701480894476,0.3403316804606964,0.4469500266889357,0.3019601517849238
Computer Graphics,0.44135828628554763,0.4135809219425077,0.666514710323163,0.29266198204373484,0.34421474062020624,0.259557513868542,0.3326183883642986,0.1717684343738894,0.3054153219208756,0.4695265051572711,0.5486206971106883,0.4132864649853494,0.36548327156972243,0.5693880102340856,0.5241597436623523,0.7434874102473259,0.761953668296337,0.9007290363311768,1.0,0.761456860601902,0.7756867080926895,0.7599259227514267,0.7718986064195632,0.7312635511159896,0.10185608401288787,0.36020899596019146,0.1772206413827086,0.3316901166002083,0.3216188773527141,0.4360242150735061,0.33421599308968625,0.20848929785565606,0.23991385332437742,0.21452486035794743,0.29436796823405614,0.38380311445198817,0.287110110536376
Sound Design,0.29450959184259157,0.20722906914754047,0.35565756278950217,0.24936397387940334,0.27299196932052505,0.24161316631307211,0.3320761094460363,0.1544523354629738,0.21365999175084338,0.39600154122866865,0.5530803466636451,0.37012816052931735,0.3913096456794254,0.5323495735769969,0.4024949225219061,0.7657319530844688,0.7862785100936889,0.7809181958436966,0.761456860601902,1.0,0.8695965915918351,0.9058028370141984,0.7583326369524002,0.7412743374705314,0.21172165118277075,0.2666813501432985,0.16098039108345685,0.30403675613611886,0.31379622835819826,0.36420359613018444,0.23468652237222914,0.2185989196248032,0.20379950800344582,0.2155841033808768,0.32380152522581357,0.271139730084809,0.3457581236469942
Interactive Media,0.4835677884314177,0.3516584725302476,0.45051178225411653,0.29246988363867316,0.39505403949608586,0.24843786974461174,0.27870873548524727,0.18456429849295014,0.19125590174401808,0.637536727077721,0.6623918174648215,0.5733786777052082,0.5851901516859427,0.6993167013127926,0.3811451983720882,0.7728444918990135,0.7821807563304901,0.7912681609392166,0.7756867080926895,0.8695965915918351,1.0,0.8873593598604202,0.7830038100481033,0.768439419567585,0.2296337010616904,0.37186291425704526,0.19049981716157455,0.3042996740869815,0.31854844593421033,0.3993954293877337,0.374731957430636,0.2817628942009446,0.24006485967116287,0.28754965930894755,0.3491052529454736,0.44550505403230745,0.5121473923778964
Media Production,0.24874660208900845,0.14020945492251746,0.3522602373896921,0.18706846772330848,0.23162799743180162,0.21076267649797142,0.29752900655724446,0.06875876998207225,0.15956009069316746,0.40259930935570365,0.5183214199431737,0.344974711452321,0.39731592970311824,0.5881633339642682,0.25904383217395577,0.7595655232667923,0.7655113726854323,0.7906508237123488,0.7599259227514267,0.9058028370141984,0.8873593598604202,1.0,0.7695719420909881,0.7688653364777565,0.18666999552594676,0.26135037554454077,0.14646870902689865,0.24729769673350976,0.27532371912324033,0.33121797597282454,0.18888543653372186,0.18591116269921382,0.1947945875402345,0.2414162681574205,0.3099140352504079,0.2857406952438729,0.33579508006763664
Digital Arts & Culture,0.42864551204242485,0.3248835748055783,0.41409245149086166,0.2860905351296123,0.38324609565449486,0.32948182876911886,0.2897433620914703,0.2713393842262832,0.2920602326673568,0.4689391085834636,0.5419943162769107,0.39232592319304177,0.46941267365295797,0.6138983579820985,0.425419986747601,0.7646860927343369,0.7668119758367538,0.7830858319997787,0.7718986064195632,0.7583326369524002,0.7830038100481033,0.7695719420909881,1.0,0.8661135017871857,0.19679883952205318,0.5100112556363199,0.12544490342520265,0.24846349421953534,0.3092814281226566,0.3327170154973882,0.4174671716136999,0.32393393640982965,0.23007335821572694,0.2303713298289624,0.35200904012010875,0.37983517612236883,0.3446654836497989
Media Studies,0.196486654453845,0.1103065752214645,0.2697924400942188,0.036757941555073836,0.27834427958480823,0.23725774876324857,0.28861368659940045,0.1741137318597214,0.24992789812451954,0.34112856292315424,0.4198251187647963,0.2996138324167081,0.37232350451688045,0.42951473139119273,0.2470532965300844,0.7380759418010712,0.7382272630929947,0.7438065126538276,0.7312635511159896,0.7412743374705314,0.768439419567585,0.7688653364777565,0.8661135017871857,1.0,0.31990926812485077,0.3303977760123395,0.1799642794598378,0.26103303461521504,0.24593730806872904,0.29170574786169173,0.1266971583541124,0.10709978830777436,0.19023367873289676,0.19978535272056552,0.17203789392031404,0.37889832673948237,0.30159642358860644
Health,0.1412114957565615,0.11482329922800875,0.13739900741378985,0.07621925553767075,0.25831413073669035,0.08335256357830916,0.08444317722918691,0.13524144984982253,0.0,0.3153596929221318,0.2686571597321053,0.2588622158048598,0.4343950248926235,0.17080261617373282,0.1951037843766238,0.23774212101310344,0.265822008990906,0.14257629709527164,0.10185608401288787,0.21172165118277075,0.2296337010616904,0.18666999552594676,0.19679883952205318,0.31990926812485077,1.0,0.8388144701719285,0.8605599701404572,0.7311337679624557,0.7340400598943233,0.7372051112353801,0.07568257761868558,0.1070551235319219,0.15970628180629654,0.16094073895035754,0.12024526780811148,0.14527387304980408,0.22259011352018404
Digital Healthcare,0.36702677846104176,0.3368672204848931,0.36998082366927326,0.21165182255322068,0.37376417288104413,0.4019588368302115,0.4384721807727631,0.24424321287341766,0.296515903072244,0.43908611532241293,0.42653368371512634,0.3898138575988097,0.38633258301287526,0.4573333426231731,0.3626003246024874,0.2971226534790754,0.3119060091605562,0.36465464882110543,0.36020899596019146,0.2666813501432985,0.37186291425704526,0.26135037554454077,0.5100112556363199,0.3303977760123395,0.8388144701719285,1.0,0.8369192570447922,0.725299098342657,0.7287144109606742,0.7328146569430828,0.38017165412178855,0.36190293632483866,0.1655602201979587,0.18945543788240754,0.3608850485723147,0.4074769088035775,0.357055343059685
Nutritional Science,0.15888016731443944,0.17698302276237476,0.17685383979770708,0.049075431177133845,0.3141907988228224,0.10137780047890228,0.14451822199322029,0.1115297297270396,0.07726682239313683,0.23281229718219798,0.20160583618705596,0.24769870815376427,0.288568599909988,0.1160362000728478,0.22798639569309748,0.1607161493304154,0.20580967451663662,0.13774843699826914,0.1772206413827086,0.16098039108345685,0.19049981716157455,0.14646870902689865,0.12544490342520265,0.1799642794598378,0.8605599701404572,0.8369192570447922,1.0,0.7301665656268597,0.7381021156907082,0.7362519793212413,0.06066606437538295,0.13647516380669544,0.22533674757066535,0.1609022403057065,0.1396444391212187,0.13069005538679934,0.13411675990513966
Neuroscience,0.4454630020239132,0.354206458838572,0.40123614922203393,0.3255167702898535,0.3445084543901764,0.1337628247483324,0.1728862111294161,0.19775493435649855,0.12528515688742364,0.30369742925247806,0.36454933300332276,0.24457801870166412,0.2136593104959209,0.2519175340916386,0.3827865582431762,0.16802959897807335,0.26672722646909824,0.27802930756464467,0.3316901166002083,0.30403675613611886,0.3042996740869815,0.24729769673350976,0.24846349421953534,0.26103303461521504,0.7311337679624557,0.725299098342657,0.7301665656268597,1.0,0.9020619958639146,0.8635041952133179,0.27077225498641827,0.2337926539817221,0.29511860277712015,0.22181513959670923,0.22280470882075265,0.2208088331778667,0.15936206227366728
Cognitive Neuroscience,0.522521108810954,0.40173439429940033,0.39848796686491067,0.2937262106140512,0.32571068021368615,0.15880833362778807,0.15896961298914253,0.2084709813880823,0.18753504218831463,0.3464733793832906,0.3477310069362478,0.30858854541733577,0.2592022858756887,0.2581452878973901,0.3459508878239119,0.216825473714094,0.27151934390727234,0.30504498245519734,0.3216188773527141,0.31379622835819826,0.31854844593421033,0.27532371912324033,0.3092814281226566,0.24593730806872904,0.7340400598943233,0.7287144109606742,0.7381021156907082,0.9020619958639146,1.0,0.8955260157585144,0.29017738340933025,0.27613572854158963,0.2702083617074349,0.20243662656497163,0.1656226556632937,0.2052415853266537,0.1411055993237881
Cognitive Psychology,0.5231819880179865,0.39896964506120863,0.4589068556972126,0.17938328513399457,0.32863199421950773,0.22097069315421192,0.24347573275408968,0.23426222442008032,0.20192906068162098,0.45266299950238525,0.4451602151770214,0.4111295190025056,0.4039997836794434,0.3173687446545404,0.4122553546941035,0.2708649830712022,0.3466433524864394,0.3474887588790547,0.4360242150735061,0.36420359613018444,0.3993954293877337,0.33121797597282454,0.3327170154973882,0.29170574786169173,0.7372051112353801,0.7328146569430828,0.7362519793212413,0.8635041952133179,0.8955260157585144,1.0,0.1906755189992984,0.20636407667590506,0.2367953779507752,0.16083862812732364,0.26526751393323905,0.2728646520653608,0.2224217351728764
Physical Computing,0.4281372339380189,0.48973048239207617,0.4158365879568396,0.6469565008225655,0.28740264759329825,0.3575680493210868,0.3354853258408563,0.23898827561384411,0.37063591220946507,0.3268011835477157,0.3627345318222081,0.33090205948560936,0.29338627989082,0.41995164638357313,0.29755419750630835,0.2733587476809269,0.27587617041614,0.3428081040360317,0.33421599308968625,0.23468652237222914,0.374731957430636,0.18888543653372186,0.4174671716136999,0.1266971583541124,0.07568257761868558,0.38017165412178855,0.06066606437538295,0.27077225498641827,0.29017738340933025,0.1906755189992984,1.0,0.8727897346019745,0.29387015668254945,0.32776543795816393,0.3085377454764147,0.30017905723940347,0.3812410385532224
Smart Engineering,0.5145534299332906,0.5331355869268285,0.39912494021739214,0.5920968379541715,0.44819839536817424,0.3394305659951052,0.3158164278984286,0.19268167539828662,0.2700841720316874,0.27456298962087106,0.3436327321535126,0.2821538571110931,0.3872343787333889,0.329840044993791,0.3572887038367536,0.2727390224644363,0.26538484461056294,0.2608375454186076,0.20848929785565606,0.2185989196248032,0.2817628942009446,0.18591116269921382,0.32393393640982965,0.10709978830777436,0.1070551235319219,0.36190293632483866,0.13647516380669544,0.2337926539817221,0.27613572854158963,0.20636407667590506,0.8727897346019745,1.0,0.2899908279420466,0.30983883399681034,0.4299045330713598,0.3135012449767817,0.26167195883406535
Climate Science,0.2748559137544539,0.23740126130588712,0.2609651878181666,0.27748642480679203,0.38392462555724516,0.24356324304549037,0.2292222695377359,0.18249375576225815,0.1822589550600126,0.23383616139835972,0.24942113736062266,0.19926464171382502,0.18941779854794272,0.24923179494138353,0.30630293515254936,0.30169096319216143,0.17963085936603584,0.20831800869186168,0.23991385332437742,0.20379950800344582,0.24006485967116287,0.1947945875402345,0.23007335821572694,0.19023367873289676,0.15970628180629654,0.1655602201979587,0.22533674757066535,0.29511860277712015,0.2702083617074349,0.2367953779507752,0.29387015668254945,0.2899908279420466,1.0,0.8554982215166093,0.2752790814427541,0.24940898315348364,0.1108653977961956
Renewable Energy,0.24320056769768955,0.2270237979707561,0.2835241084891828,0.2675509410856604,0.30941424186639954,0.2187982950710819,0.2793899439584881,0.20255937631554222,0.23217485933772397,0.23629375756492943,0.2747046906447386,0.24028770744613287,0.31014717926454655,0.2991348173078342,0.2523234381608815,0.24934615286995498,0.2702658193669162,0.3036701480894476,0.21452486035794743,0.2155841033808768,0.28754965930894755,0.2414162681574205,0.2303713298289624,0.19978535272056552,0.16094073895035754,0.18945543788240754,0.1609022403057065,0.22181513959670923,0.20243662656497163,0.16083862812732364,0.32776543795816393,0.30983883399681034,0.8554982215166093,1.0,0.28558598844421335,0.30238997719178423,0.2864188071038299
Software Engineering,0.3747735139809048,0.38365453894663054,0.3662436759276969,0.3186422578336436,0.4288722770331989,0.39337787369168775,0.45009504003838025,0.3538815002405681,0.32445286686393193,0.38287016680183933,0.46081124190062817,0.48311639511303545,0.4413848242613899,0.3033164838863027,0.32444298866755655,0.5269553971011164,0.42183544010865126,0.3403316804606964,0.29436796823405614,0.32380152522581357,0.3491052529454736,0.3099140352504079,0.35200904012010875,0.17203789392031404,0.12024526780811148,0.3608850485723147,0.1396444391212187,0.22280470882075265,0.1656226556632937,0.26526751393323905,0.3085377454764147,0.4299045330713598,0.2752790814427541,0.28558598844421335,1.0,0.8513080835342408,0.8638181924819947
Web Technologies,0.31094223472516697,0.33027898992677224,0.3498361156127205,0.22079717442885316,0.361061431664961,0.41507336568077685,0.48268228089677695,0.325384049444509,0.3680343854574635,0.5003372189747411,0.4955747825748925,0.5093269350667289,0.44761195874448473,0.5345903758475664,0.3018161592672262,0.357923199898608,0.37399787428557396,0.4469500266889357,0.38380311445198817,0.271139730084809,0.44550505403230745,0.2857406952438729,0.37983517612236883,0.37889832673948237,0.14527387304980408,0.4074769088035775,0.13069005538679934,0.2208088331778667,0.2052415853266537,0.2728646520653608,0.30017905723940347,0.3135012449767817,0.24940898315348364,0.30238997719178423,0.8513080835342408,1.0,0.8588360384106637
Mobile Development,0.22747003542802074,0.2847710991755101,0.2268173157969911,0.21261239199386117,0.2157636295360062,0.21445750901902438,0.2630812739887304,0.24941105788438378,0.20790190128184854,0.5133074146801476,0.5965898380321951,0.5140261386233219,0.5332653040572877,0.4306383994534919,0.23638013759248155,0.5038867119513181,0.41341478863983083,0.3019601517849238,0.287110110536376,0.3457581236469942,0.5121473923778964,0.33579508006763664,0.3446654836497989,0.30159642358860644,0.22259011352018404,0.357055343059685,0.13411675990513966,0.15936206227366728,0.1411055993237881,0.2224217351728764,0.3812410385532224,0.26167195883406535,0.1108653977961956,0.2864188071038299,0.8638181924819947,0.8588360384106637,1.0
